Thread_number,n,walltime,speed,Efficiency
5,4,0.0210148,11.5345851495137,0.2
5,5,0.357958,10.4535168930433,0.2
5,6,4.65956,11.0662165526359,0.2
5,7,63.8255,10.6536415695921,0.2
5,8,855.334,10.6501553778992,0.2
10,4,0.0113901,21.2813759317302,0.1
10,5,0.154329,24.2463827278088,0.1
10,6,2.11755,24.3506410710491,0.1
10,7,28.9508,23.487226605137,0.1
10,8,383.943,23.7260218313656,0.1
16,4,0.00531799,45.5805670939584,0.0625
16,5,0.0948525,39.4498827126328,0.0625
16,6,1.2712,40.5630113278792,0.0625
16,7,16.8599,40.3308441924329,0.0625
16,8,224.606,40.5574205497627,0.0625
20,4,0.00411922,58.8453639281223,0.05
20,5,0.0845925,44.2346543724325,0.05
20,6,0.953711,54.0663785989676,0.05
20,7,13.1543,51.6921462943676,0.05
20,8,174.299,52.2632946832742,0.05
24,4,0.00340437,71.2017201420527,2.9667383392522
24,5,0.0679046,55.1055451324358,2.29606438051816
24,6,0.803407,64.1812929187821,2.67422053828259
24,7,10.4958,64.785342708512,2.69938927952133
24,8,144.269,63.142047148036,2.63091863116817
34,4,0.00231183,104.850702690077,3.08384419676696
34,5,0.0452001,82.785657553855,2.43487228099573
34,6,0.540611,95.3804121632745,2.80530624009631
34,7,7.19692,94.4812503126337,2.77886030331276
34,8,96.434,94.4629487525147,2.77832202213278
48,4,0.00893953,27.1151839078788,0.564899664747476
48,5,0.031142,120.156701560593,2.5032646158457
48,6,0.362239,142.347179624502,2.96556624217713
48,7,4.83092,140.754556067995,2.9323865847499
48,8,65.6221,138.816648659522,2.89201351374004
